application_id,dealer_id,vehicle_type,region,applicant_income,loan_amount,vehicle_age,application_date,bad
APP-01343,D001,car,midwest,48979.97104330879,17856.833198468008,5,2025-02-06T00:00:00.000000000,0
APP-01990,D002,suv,midwest,52966.2222092418,17532.482094843337,9,2025-03-07T00:00:00.000000000,1
APP-00583,D001,car,south,49552.305109022345,16720.15208165083,6,2025-02-25T00:00:00.000000000,0
APP-00217,D001,suv,south,53327.372442596556,13117.268304421646,12,2025-01-12T00:00:00.000000000,0
APP-00881,D001,car,south,49961.84976692966,21866.931609063042,6,2025-01-31T00:00:00.000000000,1
APP-00308,D002,car,midwest,59400.16714625327,21728.799477473614,3,2025-03-26T00:00:00.000000000,0
APP-01677,D001,suv,midwest,48665.98657878173,15819.5829286048,11,2025-02-04T00:00:00.000000000,0
APP-00692,D002,suv,south,51223.13513032593,16393.733362217994,8,2025-01-08T00:00:00.000000000,0
APP-00917,D002,suv,south,46035.67364620001,18186.50455085735,4,2025-03-16T00:00:00.000000000,0
APP-00004,D001,suv,south,39396.49059413472,19360.468459388758,8,2025-01-24T00:00:00.000000000,1
APP-01822,D002,car,midwest,64061.74308073807,18077.390710819072,4,2025-01-28T00:00:00.000000000,0
APP-01769,D001,truck,south,48265.024075919006,25273.425332428837,8,2025-01-04T00:00:00.000000000,1
APP-01223,D002,truck,midwest,47779.98360795443,26708.448736624203,8,2025-01-27T00:00:00.000000000,1
APP-01653,D001,suv,south,54913.88793509591,16870.30645714321,4,2025-03-26T00:00:00.000000000,1
APP-00413,D001,truck,south,50053.05692009628,15660.33103551505,11,2025-02-02T00:00:00.000000000,1
APP-01228,D002,suv,midwest,42419.4295365046,19479.707522509038,6,2025-03-09T00:00:00.000000000,0
APP-01510,D002,suv,midwest,51408.613918265706,23290.02158168545,10,2025-01-07T00:00:00.000000000,0
APP-00693,D002,truck,midwest,65708.64057174788,23248.593344199755,8,2025-01-29T00:00:00.000000000,0
APP-00461,D002,suv,south,44395.429074338455,15019.116719598922,4,2025-02-13T00:00:00.000000000,1
APP-00791,D001,truck,south,57994.43642658276,31052.791288627388,9,2025-01-31T00:00:00.000000000,1
APP-00774,D002,truck,midwest,50426.623239587156,22384.588154114826,6,2025-01-15T00:00:00.000000000,1
APP-00804,D002,car,midwest,48277.74802308882,20142.349824142104,8,2025-02-17T00:00:00.000000000,1
APP-00228,D002,truck,midwest,51308.56813000731,18120.37013877702,4,2025-03-24T00:00:00.000000000,0
APP-00920,D002,suv,midwest,42265.52640963152,20927.596685197474,12,2025-03-13T00:00:00.000000000,0
APP-00497,D001,truck,south,57170.0142432615,27483.13333594592,3,2025-02-07T00:00:00.000000000,0
APP-01328,D001,car,south,53693.079369919025,16080.933023412115,12,2025-03-09T00:00:00.000000000,0
APP-01044,D001,suv,midwest,53838.21230772327,16753.344248140635,10,2025-02-16T00:00:00.000000000,1
APP-00875,D002,suv,south,52771.46632658191,17733.590931463066,5,2025-03-23T00:00:00.000000000,0
APP-01595,D002,car,midwest,52977.11753169281,19837.714803549297,12,2025-01-08T00:00:00.000000000,1
APP-00533,D001,truck,midwest,65998.80895815819,20277.954573638865,3,2025-01-20T00:00:00.000000000,0
APP-01024,D002,car,south,46389.974936234445,14686.588228020384,10,2025-02-24T00:00:00.000000000,0
APP-00122,D002,truck,midwest,48533.6047264099,18458.047127991846,8,2025-03-28T00:00:00.000000000,0
APP-00788,D002,car,south,51987.512481156045,18942.53482352261,7,2025-02-23T00:00:00.000000000,0
APP-00717,D002,suv,midwest,52025.34764976393,18510.09301155749,12,2025-03-03T00:00:00.000000000,0
APP-01146,D001,suv,midwest,48919.22990743269,26540.584357089163,7,2025-03-11T00:00:00.000000000,1
APP-01348,D002,car,south,61447.24842473744,20586.92868398432,5,2025-01-23T00:00:00.000000000,1
APP-00269,D002,car,south,59746.24015169921,16420.002287335752,3,2025-01-03T00:00:00.000000000,0
APP-01523,D001,truck,midwest,68813.31264691232,15675.98061504135,12,2025-01-15T00:00:00.000000000,0
APP-01504,D001,car,midwest,48729.85609479321,21935.921664755093,3,2025-02-04T00:00:00.000000000,1
APP-01423,D002,suv,south,46453.65337648733,17577.857936115426,9,2025-01-08T00:00:00.000000000,1
APP-01422,D002,truck,midwest,44533.34913345412,24557.39864113324,9,2025-02-04T00:00:00.000000000,1
APP-01505,D002,car,midwest,57347.527184809966,22704.81980570418,9,2025-03-29T00:00:00.000000000,0
APP-01398,D002,truck,south,64422.474918354565,24090.67641817884,12,2025-03-23T00:00:00.000000000,1
APP-00887,D001,truck,midwest,49581.25938737301,19700.09687716599,9,2025-02-21T00:00:00.000000000,1
APP-01587,D002,suv,south,39591.94569766785,19209.088721619875,6,2025-03-04T00:00:00.000000000,1
APP-01330,D001,truck,south,48425.17881562153,17045.242818780793,9,2025-03-02T00:00:00.000000000,1
APP-01584,D001,car,south,57285.35830702563,13744.267367487479,9,2025-03-23T00:00:00.000000000,1
APP-00290,D001,suv,south,40128.80728659472,23748.675520505763,8,2025-03-03T00:00:00.000000000,0
APP-00958,D002,suv,south,43225.94470741767,21648.17895784923,9,2025-02-13T00:00:00.000000000,0
APP-01449,D002,suv,south,53837.01328156462,14754.317383860935,6,2025-03-18T00:00:00.000000000,0
APP-01735,D002,car,midwest,57189.01086034857,21580.369727250767,8,2025-01-18T00:00:00.000000000,1
APP-00813,D002,car,midwest,49120.36764068486,21807.222619338114,3,2025-02-25T00:00:00.000000000,0
APP-00827,D002,suv,south,39259.24015500643,5000.0,12,2025-02-14T00:00:00.000000000,1
APP-01626,D002,truck,midwest,57163.011136900954,16520.55439745839,11,2025-01-01T00:00:00.000000000,0
APP-01701,D001,car,midwest,43487.83279288016,12989.08631311171,10,2025-02-07T00:00:00.000000000,1
APP-00605,D002,truck,south,49340.82417168803,9493.555494868495,10,2025-02-02T00:00:00.000000000,1
APP-01131,D001,suv,south,47302.863407457,20329.42373620431,3,2025-02-12T00:00:00.000000000,1
APP-01986,D002,suv,south,53619.42678591898,17002.306540013833,10,2025-02-13T00:00:00.000000000,0
APP-00237,D002,car,midwest,43414.23037814967,27260.477915302898,11,2025-01-02T00:00:00.000000000,1
APP-01340,D001,truck,south,54406.852736020934,20480.6031597248,10,2025-01-22T00:00:00.000000000,1
APP-00110,D002,car,south,45487.6700335753,19837.62746011653,12,2025-02-04T00:00:00.000000000,1
APP-01195,D002,truck,south,49553.469226329464,20297.551752568474,9,2025-02-20T00:00:00.000000000,0
APP-00604,D001,suv,midwest,58177.034170390514,14756.201245805125,10,2025-02-15T00:00:00.000000000,0
APP-01862,D001,suv,midwest,59591.8711695486,18594.009598790257,4,2025-01-10T00:00:00.000000000,0
APP-01865,D002,suv,midwest,57542.68322947077,19871.051083811966,8,2025-03-05T00:00:00.000000000,0
APP-01359,D001,car,south,40737.44051219259,24277.935916775314,12,2025-03-19T00:00:00.000000000,1
APP-01643,D001,truck,midwest,54184.59303149274,18028.550645237534,3,2025-03-17T00:00:00.000000000,0
APP-00393,D001,suv,south,53638.17302804216,24844.749208109588,3,2025-02-10T00:00:00.000000000,0
APP-00025,D002,car,south,52456.91613677735,9833.292833721267,5,2025-03-25T00:00:00.000000000,1
APP-00138,D001,car,south,57632.07339072242,16420.673635268715,12,2025-02-18T00:00:00.000000000,1
APP-00350,D001,suv,south,47797.55071311838,14354.104384754326,12,2025-01-10T00:00:00.000000000,0
APP-00925,D001,suv,south,51738.439114160006,18247.947657051092,9,2025-03-27T00:00:00.000000000,0
APP-01885,D002,car,south,50643.86388727006,18113.221467772146,12,2025-01-02T00:00:00.000000000,0
APP-00489,D002,suv,midwest,50865.75483313577,13535.298023102305,4,2025-02-17T00:00:00.000000000,0
APP-00839,D001,car,midwest,42334.3339844579,20673.89116317764,12,2025-03-07T00:00:00.000000000,0
APP-01687,D001,car,midwest,55769.88309001905,15972.89152470358,3,2025-01-16T00:00:00.000000000,1
APP-00576,D001,car,midwest,55457.37062039471,19017.788927458416,6,2025-03-10T00:00:00.000000000,1
APP-01904,D001,car,midwest,37676.04160389959,19723.37057306567,5,2025-03-24T00:00:00.000000000,1
APP-01577,D002,suv,midwest,55871.56825074794,19925.271563584858,10,2025-03-27T00:00:00.000000000,0
APP-00972,D001,car,south,40429.33690682494,25205.733318292623,11,2025-03-11T00:00:00.000000000,1
APP-01183,D002,truck,midwest,47439.323311721695,24141.68586149059,3,2025-01-21T00:00:00.000000000,0
APP-00734,D002,car,south,51732.99986513052,19603.71289666004,7,2025-03-13T00:00:00.000000000,0
APP-01512,D001,suv,midwest,52370.16536996963,18466.319398711978,7,2025-02-12T00:00:00.000000000,0
APP-00071,D002,car,south,40918.17151877258,20047.265047956666,8,2025-02-27T00:00:00.000000000,1
APP-01563,D001,suv,midwest,42131.897769135336,10442.516436557991,7,2025-01-08T00:00:00.000000000,1
APP-00952,D001,suv,south,46419.287949004414,21463.406056022926,6,2025-02-02T00:00:00.000000000,1
APP-00686,D002,suv,midwest,54084.665786597376,18459.629822458865,7,2025-01-14T00:00:00.000000000,0
APP-01033,D002,suv,south,46082.470636357975,23218.7578505867,4,2025-03-18T00:00:00.000000000,1
APP-01591,D002,car,south,52186.976950426026,20766.918099169823,6,2025-03-06T00:00:00.000000000,0
APP-01625,D002,truck,south,54877.575432447826,17388.267553209324,11,2025-01-25T00:00:00.000000000,1
APP-00600,D002,suv,midwest,60742.762005202094,18159.53079529763,5,2025-03-03T00:00:00.000000000,0
APP-00859,D002,truck,south,62421.36110036123,18445.932974230145,5,2025-01-13T00:00:00.000000000,1
APP-00830,D001,car,south,53771.10128633679,15950.520231679708,4,2025-01-13T00:00:00.000000000,0
APP-01719,D001,truck,south,58554.60137898513,16435.674951869954,6,2025-03-11T00:00:00.000000000,0
APP-01913,D001,car,midwest,57695.47915017497,20862.59469520352,3,2025-01-25T00:00:00.000000000,0
APP-00312,D002,car,midwest,55035.46551874518,22553.157712210508,3,2025-03-28T00:00:00.000000000,1
APP-01742,D002,car,midwest,53579.60969238324,26304.304536674612,6,2025-02-17T00:00:00.000000000,1
APP-00107,D002,truck,south,51166.692441333566,13836.77126067589,7,2025-01-28T00:00:00.000000000,0
APP-00921,D002,car,midwest,49247.5123941939,12514.82294518892,4,2025-02-01T00:00:00.000000000,0
APP-01366,D001,truck,south,63316.08171384772,22254.268408223987,4,2025-01-30T00:00:00.000000000,1
APP-00850,D002,suv,midwest,45102.59511680743,13597.861882773437,6,2025-03-08T00:00:00.000000000,1
APP-01713,D002,truck,south,45865.60030381204,18411.93371387961,9,2025-03-26T00:00:00.000000000,1
APP-01705,D002,truck,south,44417.51132723487,19128.416043288205,5,2025-01-25T00:00:00.000000000,1
APP-01150,D002,car,midwest,52207.32106119627,19781.83323710412,3,2025-01-23T00:00:00.000000000,0
APP-01415,D002,suv,south,36006.22644651746,17393.615620340242,6,2025-02-19T00:00:00.000000000,0
APP-00499,D002,car,south,61412.676895809665,19594.701404479645,6,2025-01-03T00:00:00.000000000,0
APP-00264,D002,suv,midwest,42626.818890309856,18618.51178732308,5,2025-03-28T00:00:00.000000000,0
APP-00494,D002,suv,south,54311.22962574022,15594.998578021912,10,2025-03-02T00:00:00.000000000,1
APP-00557,D002,truck,south,50019.0824537159,15444.84425241897,7,2025-02-20T00:00:00.000000000,0
APP-01120,D001,truck,south,54438.12801243983,13545.115911640387,8,2025-03-22T00:00:00.000000000,1
APP-00109,D001,car,midwest,50840.10626647938,15036.136500462919,3,2025-03-24T00:00:00.000000000,0
APP-01641,D002,truck,midwest,54705.96732238475,13740.800154115492,10,2025-03-20T00:00:00.000000000,1
APP-01061,D002,car,midwest,46872.86466473762,17077.563514341924,3,2025-01-12T00:00:00.000000000,0
APP-00104,D001,car,south,52632.68950079647,21185.523594151466,7,2025-02-19T00:00:00.000000000,1
APP-01549,D001,car,south,51375.5668764576,15686.438940580752,3,2025-01-14T00:00:00.000000000,0
APP-00157,D001,suv,midwest,58398.46367457324,26454.82529636975,6,2025-02-14T00:00:00.000000000,0
APP-00395,D002,suv,midwest,52112.04687477527,15076.183121040203,11,2025-02-07T00:00:00.000000000,0
APP-01308,D001,car,midwest,51882.87400426209,22876.65272873385,5,2025-03-01T00:00:00.000000000,1
APP-00520,D002,truck,south,65144.47798920874,25364.39920005662,12,2025-01-11T00:00:00.000000000,0
APP-00976,D001,suv,midwest,44440.50308971288,21199.857599225954,10,2025-02-28T00:00:00.000000000,0
APP-01100,D001,car,south,55744.71436943735,24093.10588973598,8,2025-02-08T00:00:00.000000000,1
APP-00898,D001,suv,midwest,44948.20057501814,13895.649211576367,11,2025-01-27T00:00:00.000000000,0
APP-01200,D002,car,midwest,54095.55989470697,21900.923635361713,9,2025-02-01T00:00:00.000000000,1
APP-00582,D002,suv,midwest,54144.06162447502,16704.106644059393,8,2025-02-15T00:00:00.000000000,1
APP-00773,D001,car,south,50054.73428920549,19240.825405384283,12,2025-01-02T00:00:00.000000000,0
APP-01936,D001,truck,south,66620.82649371248,12563.465929950693,5,2025-03-03T00:00:00.000000000,0
APP-01326,D001,truck,south,62160.33478621725,13875.77472113047,3,2025-03-03T00:00:00.000000000,0
APP-00872,D001,truck,midwest,58492.255226665875,17089.706645043043,6,2025-02-15T00:00:00.000000000,1
APP-01221,D002,truck,south,45841.46343272566,17515.8955871882,7,2025-02-11T00:00:00.000000000,1
APP-00153,D002,truck,midwest,56800.71088099677,23552.260132619413,12,2025-03-29T00:00:00.000000000,0
APP-01342,D001,car,midwest,54400.78055495018,17842.62844887445,10,2025-02-23T00:00:00.000000000,0
APP-01915,D001,truck,midwest,56045.77904558923,7685.47198470402,7,2025-01-30T00:00:00.000000000,1
APP-00262,D001,truck,south,50862.50135972115,23983.76493587826,8,2025-01-06T00:00:00.000000000,1
APP-00439,D001,truck,south,40998.45032955834,19561.76678366302,9,2025-03-11T00:00:00.000000000,1
APP-01030,D001,truck,south,55256.76339028698,24713.080626696123,7,2025-01-31T00:00:00.000000000,1
APP-01249,D001,car,midwest,52216.753561680904,21716.03480714662,3,2025-03-28T00:00:00.000000000,0
APP-01440,D002,truck,midwest,43775.92707903394,16531.57878202992,4,2025-03-27T00:00:00.000000000,0
APP-00175,D002,car,south,52581.9042319005,16813.726036899116,7,2025-03-11T00:00:00.000000000,0
APP-01273,D002,suv,south,49879.79409054449,11810.70284433573,3,2025-03-04T00:00:00.000000000,1
APP-00379,D001,truck,south,56163.84203639376,14198.790671257688,6,2025-01-10T00:00:00.000000000,0
APP-00451,D002,truck,midwest,47021.61156554134,19850.76901200178,12,2025-01-26T00:00:00.000000000,0
APP-01184,D001,car,midwest,59492.41028093543,13078.82089731668,8,2025-02-19T00:00:00.000000000,0
APP-01393,D002,truck,midwest,48594.03622576884,28591.386606504366,8,2025-03-12T00:00:00.000000000,1
APP-00207,D002,car,midwest,65362.033615719134,20208.81174350087,12,2025-03-16T00:00:00.000000000,0
APP-00854,D001,car,south,49379.2986339247,20477.304553034228,8,2025-01-11T00:00:00.000000000,0
APP-01000,D002,suv,south,54106.23912429451,17356.842246322856,11,2025-01-15T00:00:00.000000000,1
APP-00532,D001,truck,south,55079.42266114639,14432.388086322793,4,2025-02-21T00:00:00.000000000,1
APP-00982,D002,car,midwest,36132.958916911666,20445.408052111423,12,2025-02-18T00:00:00.000000000,1
APP-01045,D002,car,midwest,49903.96223476661,16075.304670878584,12,2025-02-04T00:00:00.000000000,1
APP-01614,D002,car,south,32958.91383174063,18211.624673722763,11,2025-02-18T00:00:00.000000000,1
APP-01542,D001,suv,south,46956.054365988224,11377.38442453369,5,2025-03-06T00:00:00.000000000,0
APP-01952,D002,car,midwest,54731.55950573476,17434.406316480046,11,2025-01-09T00:00:00.000000000,0
APP-01684,D002,suv,south,32137.10418776207,18659.45445025929,9,2025-02-15T00:00:00.000000000,0
APP-01454,D001,suv,midwest,49699.06870429955,24275.419287910525,5,2025-02-28T00:00:00.000000000,1
APP-00129,D002,car,midwest,53050.219899513235,21540.516972935122,11,2025-01-18T00:00:00.000000000,0
APP-01075,D001,suv,south,54928.345062151646,12646.418367538536,6,2025-01-12T00:00:00.000000000,1
APP-01715,D002,truck,midwest,46353.669142849896,18717.561889803103,8,2025-02-07T00:00:00.000000000,1
APP-01665,D002,suv,midwest,53960.39404287801,17759.042746780677,3,2025-01-28T00:00:00.000000000,1
APP-01226,D002,truck,south,58974.925935582665,14195.902252958538,3,2025-03-07T00:00:00.000000000,0
APP-00562,D001,suv,south,61671.98952266255,21468.372402924528,5,2025-03-02T00:00:00.000000000,0
APP-01198,D002,truck,midwest,58730.172204335206,17766.216748531744,6,2025-01-04T00:00:00.000000000,1
APP-01483,D001,truck,south,45647.05124858337,14276.694564772482,9,2025-01-18T00:00:00.000000000,0
APP-00735,D001,suv,midwest,44024.09642794453,17588.649082676857,7,2025-02-11T00:00:00.000000000,1
APP-01320,D001,car,south,55016.463893929635,22362.529602765782,9,2025-01-08T00:00:00.000000000,0
APP-00629,D002,suv,midwest,52453.936875763604,28290.350009426766,4,2025-01-14T00:00:00.000000000,0
APP-01964,D002,suv,south,55934.89152192761,18702.395733906043,3,2025-02-18T00:00:00.000000000,1
APP-00345,D002,suv,south,37014.700504312896,16449.837814470287,10,2025-02-09T00:00:00.000000000,1
APP-01317,D002,suv,midwest,61844.536572704994,19297.892101333422,5,2025-01-10T00:00:00.000000000,1
APP-01707,D002,car,south,47462.29088070588,21139.595221095205,11,2025-02-13T00:00:00.000000000,0
APP-00124,D001,suv,south,48599.46069576786,17242.28514264916,8,2025-03-04T00:00:00.000000000,0
APP-00984,D002,truck,south,49469.75486593112,18566.39088233928,12,2025-01-05T00:00:00.000000000,0
APP-00681,D002,car,south,48448.40428360785,24136.760052305966,8,2025-03-30T00:00:00.000000000,1
APP-00842,D002,truck,south,59239.14649636464,28487.26625104514,4,2025-02-27T00:00:00.000000000,0
APP-00556,D002,car,south,52288.23705159716,14389.83343336315,4,2025-02-22T00:00:00.000000000,0
APP-00514,D002,truck,midwest,48740.807002519585,11924.234423929354,4,2025-01-11T00:00:00.000000000,0
APP-00431,D001,car,midwest,45220.17761151718,17037.64343761913,8,2025-03-10T00:00:00.000000000,0
APP-01201,D002,truck,south,51171.43204878283,12452.470844943417,3,2025-02-25T00:00:00.000000000,1
APP-00657,D002,car,south,47868.144330459356,14363.202103344574,3,2025-02-06T00:00:00.000000000,1
APP-00164,D001,truck,south,60891.91874159432,22636.15583263891,5,2025-03-18T00:00:00.000000000,0
APP-00001,D001,truck,south,59002.44292466141,20478.539062166423,12,2025-02-20T00:00:00.000000000,0
APP-00083,D001,car,midwest,47731.28548470018,16656.37070664025,3,2025-01-20T00:00:00.000000000,0
APP-00752,D001,car,south,44374.03809975572,14358.593653962673,10,2025-03-17T00:00:00.000000000,0
APP-01799,D001,car,midwest,49640.52512330088,17931.297986076537,4,2025-03-01T00:00:00.000000000,0
APP-01733,D002,suv,midwest,57817.064661516175,17274.246249714397,11,2025-01-08T00:00:00.000000000,1
APP-00586,D002,suv,midwest,51754.01458217581,21581.71818407173,6,2025-02-22T00:00:00.000000000,1
APP-00231,D001,suv,south,56365.22847058632,19040.483884385943,10,2025-02-07T00:00:00.000000000,1
APP-01042,D002,car,south,47025.57651955059,23551.70167604663,8,2025-02-15T00:00:00.000000000,0
APP-00943,D002,truck,midwest,54456.50043853212,22775.584294504402,9,2025-01-10T00:00:00.000000000,0
APP-01734,D002,truck,south,60724.224954363846,16659.79305486964,11,2025-01-03T00:00:00.000000000,0
APP-00540,D001,suv,midwest,59274.217737623025,20228.020896600538,6,2025-02-08T00:00:00.000000000,0
APP-01265,D001,suv,midwest,40282.378860081946,20549.979273662026,8,2025-03-02T00:00:00.000000000,0
APP-01187,D001,truck,midwest,46572.54952303857,16586.151092902015,12,2025-03-04T00:00:00.000000000,0
APP-00495,D001,suv,south,55313.04979605953,18728.995248385774,5,2025-03-16T00:00:00.000000000,1
APP-00550,D002,car,midwest,58435.55987867645,18399.35403813457,4,2025-01-16T00:00:00.000000000,0
APP-01257,D001,car,south,66400.0492387506,17412.78856088678,5,2025-01-04T00:00:00.000000000,0
APP-00423,D002,car,midwest,32890.755857477925,21805.599328738022,10,2025-01-03T00:00:00.000000000,0
APP-00696,D001,suv,midwest,60186.816761803326,21029.42614259812,11,2025-03-22T00:00:00.000000000,0
APP-00975,D001,car,midwest,44390.23133717843,14871.822691707297,8,2025-03-16T00:00:00.000000000,0
APP-00152,D001,car,midwest,48397.176449712366,21174.43283921804,7,2025-03-25T00:00:00.000000000,1
APP-01724,D002,truck,midwest,45641.9224034093,16721.037889308755,4,2025-02-05T00:00:00.000000000,0
APP-00990,D002,suv,midwest,44016.759881168975,29175.52040871886,11,2025-03-01T00:00:00.000000000,1
APP-01781,D001,car,south,45535.85234445074,15205.021838659883,12,2025-03-07T00:00:00.000000000,1
APP-00368,D001,car,south,55487.75093494572,15267.77861288869,4,2025-01-01T00:00:00.000000000,0
APP-01155,D001,car,midwest,39748.65446772135,21179.187939603522,6,2025-03-11T00:00:00.000000000,1
APP-01786,D001,suv,midwest,53662.30217578957,10686.072694327313,5,2025-02-14T00:00:00.000000000,0
APP-00885,D002,suv,south,52939.835742734016,17257.21139629069,9,2025-01-23T00:00:00.000000000,1
APP-00146,D002,suv,south,42925.23488032571,21724.739838533827,9,2025-02-15T00:00:00.000000000,1
APP-00026,D002,suv,south,52946.9500510183,20768.895399641457,12,2025-03-05T00:00:00.000000000,0
APP-01037,D002,truck,midwest,44481.33417303299,24438.546133279087,12,2025-01-23T00:00:00.000000000,1
APP-01356,D001,suv,midwest,50761.180095575546,18630.307872101424,11,2025-03-01T00:00:00.000000000,0
APP-01900,D001,truck,midwest,44114.810283772225,22014.991326695777,11,2025-03-17T00:00:00.000000000,0
APP-00018,D001,truck,south,43544.176591711854,22853.21490976356,5,2025-02-05T00:00:00.000000000,0
APP-01410,D001,suv,midwest,51103.44054806372,20822.36832641416,8,2025-03-27T00:00:00.000000000,0
APP-00043,D002,truck,midwest,53874.92026592365,15852.539515117669,7,2025-03-25T00:00:00.000000000,0
APP-00410,D001,car,south,63385.40997864805,18818.295512041506,6,2025-01-19T00:00:00.000000000,1
APP-01367,D001,suv,south,50359.82059156043,16091.927363644529,11,2025-02-19T00:00:00.000000000,0
APP-01090,D001,suv,midwest,42246.13583993554,17746.466812818984,5,2025-01-31T00:00:00.000000000,0
APP-01920,D002,suv,midwest,65812.93547100047,18263.22034020462,12,2025-02-01T00:00:00.000000000,0
APP-00570,D002,truck,south,56082.10410384406,13970.693435856192,11,2025-01-06T00:00:00.000000000,0
APP-01208,D002,truck,midwest,50652.01836200888,25032.07200029891,5,2025-03-06T00:00:00.000000000,0
APP-01390,D002,truck,midwest,41280.469520961546,18744.092417151194,5,2025-03-12T00:00:00.000000000,0
APP-01085,D001,suv,midwest,58385.55176307237,12288.442587349713,7,2025-03-19T00:00:00.000000000,1
APP-01528,D001,car,south,54317.21055685471,23488.66290257729,3,2025-03-11T00:00:00.000000000,0
APP-01774,D001,car,south,54598.42466144519,16372.548879421252,4,2025-03-17T00:00:00.000000000,0
APP-00602,D002,car,midwest,54939.134566596906,19761.901031048823,10,2025-03-03T00:00:00.000000000,1
APP-00184,D002,suv,midwest,47036.6005983454,21546.5902278304,6,2025-03-30T00:00:00.000000000,1
APP-00105,D002,truck,south,51000.82962332226,15248.682284933551,4,2025-01-18T00:00:00.000000000,1
APP-01129,D002,suv,midwest,59051.90899737001,14851.20544241567,6,2025-02-03T00:00:00.000000000,0
APP-01016,D002,suv,midwest,51281.5861092255,22528.948194019664,9,2025-03-03T00:00:00.000000000,1
APP-00697,D002,car,south,56047.08318206797,26005.990911848407,11,2025-02-18T00:00:00.000000000,0
APP-01237,D001,suv,midwest,55164.12618372899,26666.17716956947,12,2025-01-10T00:00:00.000000000,1
APP-00370,D002,car,midwest,58190.2108323867,22286.470945743968,9,2025-03-03T00:00:00.000000000,0
APP-00980,D002,suv,midwest,48362.95906182494,20630.750466450274,8,2025-02-06T00:00:00.000000000,0
APP-00065,D001,suv,midwest,67853.81998316012,21456.05769303644,5,2025-01-31T00:00:00.000000000,0
APP-01310,D002,truck,south,44385.0132683468,16394.756574870506,9,2025-02-05T00:00:00.000000000,0
APP-00558,D002,truck,midwest,43247.711828794476,17315.329119706872,3,2025-02-08T00:00:00.000000000,0
APP-01852,D001,car,midwest,52138.665250623235,16869.606425144742,11,2025-01-26T00:00:00.000000000,1
APP-00507,D002,suv,south,65034.38333569832,20268.13890776739,6,2025-02-08T00:00:00.000000000,1
